What is inheritance in OOP? ,"In object-oriented programming (OOP), inheritance is a mechanism that allows a new class to be based on an existing class. The new class, known as the derived class, inherits all of the properties and behaviors of the existing class, known as the base class. This allows developers to create new classes that reuse the properties and behaviors of existing classes, thereby reducing code duplication and promoting code reuse.","
Image result for What is inheritance in OOP?
Inheritance is a mechanism in which one class acquires the property of another class. For example, a child inherits the traits of his/her parents. With inheritance, we can reuse the fields and methods of the existing class. Hence, inheritance facilitates Reusability and is an important concept of OOPs","When a class derives from another class. The child class will inherit all the public and protected properties and methods from the parent class. In addition, it can have its own properties and methods.An inherited class is defined by using the extends keyword"
What is normalization in database design? Explain the first three normal forms.,Normalization is the process of organizing data in a database. This includes creating tables and establishing relationships between those tables according to rules designed both to protect the data and to make the database more flexible by eliminating redundancy and inconsistent dependency,"Normalization is a process in database design that helps to eliminate data redundancy and improve data integrity by organizing data into logical structures. The normalization process involves dividing larger tables into smaller tables and defining relationships between them.

There are several normal forms in database normalization, with the first three being the most commonly used:

First Normal Form (1NF): A table is in first normal form if it has no repeating groups or arrays, and if every field contains only atomic (indivisible) values. This means that each column of a table should contain only one value.
For example, a table containing a list of customers and their order history would not be in 1NF if it had multiple order numbers in a single row. To normalize the table to 1NF, we would separate the orders into a separate table.

Second Normal Form (2NF): A table is in second normal form if it is in 1NF and every non-key column is dependent on the table's primary key. This means that each non-key column should be uniquely identified by the primary key.","Normalization is a database design technique that reduces data redundancy and eliminates undesirable characteristics like Insertion, Update and Deletion Anomalies. Normalization rules divides larger tables into smaller tables and links them using relationships. The purpose of Normalisation in SQL is to eliminate redundant (repetitive) data and ensure data is stored logically.Here is a list of Normal Forms in SQL:

1NF (First Normal Form)
2NF (Second Normal Form)
3NF (Third Normal Form)
BCNF (Boyce-Codd Normal Form)
4NF (Fourth Normal Form)
5NF (Fifth Normal Form)
6NF (Sixth Normal Form)"
What is a binary search tree? Explain its properties and complexity of operations.,"A binary search tree (BST) is a binary tree data structure where each node has at most two child nodes, and the left subtree of a node contains only nodes with keys less than the node's key, and the right subtree of a node contains only nodes with keys greater than the node's key. This property is called the binary search property, and it allows for efficient searching, insertion, and deletion of nodes.

The properties of a binary search tree are:

The left subtree of a node contains only nodes with keys less than the node's key.
The right subtree of a node contains only nodes with keys greater than the node's key.
The left and right subtrees are also binary search trees.
The time complexity of operations on a binary search tree depends on the height of the tree, which is the maximum number of edges from the root to a leaf node. In a balanced BST, where the heights of the left and right subtrees of every node differ by at most 1, the height is logarithmic with respect to the",,
 Explain dynamic programming with an example.,"Dynamic programming is a process to solve optimization problems. In software development projects, dynamic programming uses an algorithm that breaks down complex coding problems into subproblems. Programmers can then apply the optimized solution to the entire problem, depending on the type of solution they derive from each subproblem in the code. ","Dynamic programming is a technique for solving complex problems by breaking them down into smaller subproblems and solving each subproblem only once, storing the solutions in memory for future reference. This approach can lead to significant performance improvements over traditional recursive or iterative algorithms that solve the same problem multiple times.

One classic example of dynamic programming is the Fibonacci sequence. The Fibonacci sequence is a sequence of numbers in which each number is the sum of the two preceding numbers, starting from 0 and 1. The first few numbers in the sequence are 0, 1, 1, 2, 3, 5, 8, 13, 21, 34, 55, and so on.",
Operating Systems What is virtual memory and how does it work?,"Virtual memory is a common technique used in a computer's operating system (OS). Virtual memory uses both hardware and software to enable a computer to compensate for physical memory shortages, temporarily transferring data from random access memory (RAM) to disk storage.","Virtual memory is a computer memory management technique that allows a computer to use more memory than it physically has available. It works by temporarily transferring data from a computer's RAM (random access memory) to its hard disk, freeing up RAM for other applications to use.

When a program needs to access data that is not currently in RAM, the operating system moves some of the data from RAM to a special portion of the hard disk called the swap space or page file. This frees up space in RAM for the program to use, and allows the program to access the data it needs. If the program needs to access the data again in the future, the operating system can move it back into RAM.
",
 What is the difference between TCP and UDP? When would you use one over the other?,"TCP is a connection-oriented protocol, whereas UDP is a connectionless protocol. A key difference between TCP and UDP is speed, as TCP is comparatively slower than UDP. Overall, UDP is a much faster, simpler, and efficient protocol, however, retransmission of lost data packets is only possible with TCP","Type of protocol
Both the protocols, i.e., TCP and UDP, are the transport layer protocol. TCP is a connection-oriented protocol, whereas UDP is a connectionless protocol. It means that TCP requires connection prior to the communication, but the UDP does not require any connection.
Reliability
TCP is a reliable protocol as it provides assurance for the delivery of the data. It follows the acknowledgment mechanism. In this mechanism, the sender receives the acknowledgment from the receiver and checks whether the acknowledgment is positive or negative. If the ACK is positive means, the data has been received successfully. If ACK is negative, then TCP will resend the data. It also follows the flow and error control mechanism.
UDP is an unreliable protocol as it does not ensure the delivery of the data.
Flow Control
TCP follows the flow control mechanism that ensures a large number of packets are not sent to the receiver at the same time, while UDP does not follow the flow control mechanism.
Ordering
TCP uses ordering and sequencing techniques to ensure that the data packets are received in the same order in which they are sent. On the other hand, UDP does not follow any ordering and sequencing technique; i.e., data can be sent in any sequence.
Speed
Since TCP establishes a connection between a sender and receiver, performs error checking, and also guarantees the delivery of data packets while UDP neither creates a connection nor it guarantees the delivery of data packets, so UDP is faster than TCP.
Flow of data
In TCP, data can flow in both directions means that it provides the full-duplex service. On the other hand, UDP is mainly suitable for the unidirectional flow of data.
","TCP (Transmission Control Protocol) and UDP (User Datagram Protocol) are two protocols that are used for data transmission over the Internet.

The main difference between TCP and UDP is that TCP is a connection-oriented protocol, meaning that a connection must be established between the sender and receiver before data transmission can occur, whereas UDP is a connectionless protocol, meaning that data can be sent without first establishing a connection.

TCP is more reliable than UDP as it ensures that all data is transmitted and received in the correct order, and can detect and correct errors during transmission. However, this reliability comes at the cost of increased overhead and latency, as each packet must be acknowledged before the next one can be sent.

UDP, on the other hand, is faster and more efficient than TCP, as it does not have the overhead of connection setup and error checking. However, this speed and efficiency come at the cost of reliability, as UDP packets can be lost or delivered out of order without detection or correction.

When deciding between TCP and UDP, the choice depends on the requirements of the application. If reliability and error correction are critical, such as in file transfers or email delivery, TCP should be used. If speed and efficiency are more important, such as in real-time audio or video streaming, or online gaming, UDP should be used.


"
 What is a SQL injection attack? How can it be prevented?,"SQL Injection is a code-based vulnerability that allows an attacker to read and access sensitive data from the database. Attackers can bypass security measures of applications and use SQL queries to modify, add, update, or delete records in a database","A SQL injection attack is a type of security vulnerability that occurs when a malicious user inserts malicious SQL code into a web application's input field, which is then executed by the database server. This type of attack can allow the attacker to view or modify sensitive data, execute unauthorized commands, or even take control of the entire database server.

To prevent SQL injection attacks, developers should take the following measures:

Input validation: Validate and sanitize all user input, especially those that will be used in SQL statements. This includes checking data types, length, format, and content.

Parameterized queries: Use parameterized queries instead of dynamically constructed queries. Parameterized queries are pre-compiled SQL statements that allow developers to pass user input as parameters rather than concatenating it directly into the SQL query.

Least privilege principle: Limit the privileges of database users to only the minimum necessary to perform their tasks. This will help prevent an attacker from gaining access to sensitive data or performing unauthorized actions.

Error handling: Avoid returning specific error messages that may give attackers insight into the underlying database schema and structure.

Security testing: Regularly test the application for security vulnerabilities, including SQL injection attacks. This includes automated tools, as well as manual testing by trained security professionals.",
 What is the difference between HTML and XHTML?,"HTML is the standard markup language for creating web pages, while XHTML is a stricter and more standardized version of HTML. Both HTML and XHTML include a wide range of features, such as support for multimedia, styling, and scripting.","
HTML and XHTML are both languages in which web pages are written. HTML is SGML-based while XHTML is XML-based. They are like two sides of the same coin. XHTML was derived from HTML to conform to XML standards.",
What is a design pattern? Give an example of a design pattern and explain how it works.,"Design patterns provide a standard terminology and are specific to particular scenario. For example, a singleton design pattern signifies use of single object so all developers familiar with single design pattern will make use of single object and they can tell each other that program is following a singleton pattern.",,
"What is the difference between private, public, and hybrid clouds? What are some use cases for each?","Public cloud is cloud computing that’s delivered via the internet and shared across organizations.
Private cloud is cloud computing that is dedicated solely to your organization.
Hybrid cloud is any environment that uses both public and private clouds.",,
